,query_sentence
0,Lives in : Saudi Aribia .
1,Is she beautiful .
2,"Lets eat cake , dance and sing ."
3,Sometimes it 's tiring and boring when I work a log time .
4,"IN THE EVENING , I meet friends ."
5,Lives in : saudi Arabia .
6,"Lets eat cake , dance and sing ."
7,"Lets eat cake , dance , play and sing.The party starts at 5:00 ."
8,Sets the table in the morning .
9,Does ironing on Thursday .
10,has mother is a frindly women and has father is strongar man .
11,"Lets eat cake , dance and sing ."
12,"Lets eat cake , dance and sing ."
13,Plays computer games at 6 pm .
14,Does gardening in the morning .
15,Sets the table at 6 p m. You .
16,lets roll .
17,Is the summer the weather very hot and sunny .
18,"Lets eat cake , dance and sing ."
19,Plays computer games at \\every sfternoon .
20,Sounds like a great idea .
21,Thanks a lot and best regards .
22,Translates 500 useful phrases into 50 languages .
23,Is n't this totally awesome !
24,"Lives in : Jeddah , Saudia Arabia Favorite : season : summer color : Black animal : small cat time : the morning day : Sunday !"
25,looks like and handsome me .
26,does n't likes she High sounds .
27,lets meet friends and eat cake and dance and listen to music nad sing songe nad drink .
28,Wins the player with the most points .
29,"Item 2 : The manger assign to the tasks to achieve the job which are : a ) Shary contact Alson to ask her about the requirements for the next meeting , b ) Alex with his team must brainstorm some new ideas to discuss it next meeting , c ) booking a table at a Malaysian restaurant as one of the offic party on the end of this month ."
30,"Lets eat cake , dance and sing ."
31,IN THE evenings I like to watch movies and music programs .
32,"Lets eat cake , watch movie and dance ."
33,Plays computer games at 6 pm .
34,Does gardening in the morning .
35,"Is that true she does n't like earrings , phones and dresses ."
36,"Is it possible to offer the installment every two months and if yes , Is the interest will be lower ."
37,Plays computer games at 6pm .
38,Does gardening in the morning .
39,Sets the table at 6pm .
40,Imakes the dinner and sets the table everyday in the evening.Inever eats out .
41,Does gardening in the morning .
42,sets the table at 6pm .
43,Is good to hear from you .
44,Sounds be good let 's meet there .
45,Does ironing in the morning .
46,Does gardening in the morning .
47,Feeds the dog again at 4pm every day .
48,Does the dishes at 7am every day .
49,Does the laundry on tuesday moorning .
50,Sets the table at 7:30pm .
51,Washes the dishes again after we finished dinner .
52,Does the ironing at 8pm every day .
53,"Lives in : Hail , Saudi Arabia ."
54,"Lets eat cake , dance and sing ."
55,"has several uses can be hung on the neck and he wears them on hand , you can hide the screen lid decorated with a metal look like a bracelet ."
56,Thanks a lot .
57,Thanks a lot .
58,"Lives in : Onizah , Saudi Arabia ."
59,"Thees clothes prices are $ 20 for pink jacket , $ 35 for black dress , $ 20 for skirt , $ 15 for blue shirt , $ 40 for gray pants ."
60,"Feeds the dogs twice a day and then walk three times a week.In the morning I 'm daily clean my birds cage and then feed.In the afternoon I feed my fishes.I hope my letter will helps you.Bye , Joshi ."
61,"thanks a lot for that , see you ."
62,"Is very nice city .The third one , this is my husband , my son and I ."
63,Has a gray jacket .
64,Has a pink shirt and black skirt .
65,"Lets eat cake , listen to music and sing ."
66,"Lets eat cake , Watch movie and have fun ."
67,"lets eat cake , dance and sing songs ."
68,"Lets eat cake , dance and sing ."
69,Skirts 15 $ .
70,Thanks a lot in advance .
71,Gonuts !
72,"Looks like youve found the right place to live in , with a fascinating rustic-styled house in the Pacific Heights ."
73,"Lets celebrate and eat cake and dance , sing ."
74,lets eat pizza and cake .
75,Lets pretend it never happened .
76,Lives in : Jordan .
77,Is there a vacancy for your work according to my qualifications .
78,Invitees number : thirty people of George 's friends .
79,Shes a housewife .
80,Is starts at 7 o'clock .
81,"lets dance , sing , eat , and drink ."
82,does laundry on tuesday afternoon .
83,Sometimes it 's cool in the evening .
84,comes for the price of 270 $ .
85,Does gardening in the morning .
86,Sets the table at 6pm .
87,"Turns out it was a wig , the woman was a teenage boy ."
88,prepares the childs school 's waring every day .
89,makes coffee every morning .
90,does yoga once a weak .
91,Waters the plants before go to bed .
92,Thanks a lot .
93,"Lets eat cake , dance and sing ."
94,"Lives in : Riyadh , Saudi Favorite : season : spring color : pink animal : cat time : morning Number:5 I can swim but I ca n't play chess ."
95,Takes out the trash once a week .
96,Lives in : the KSA .
97,Sets the table at 8pm .
98,Guests ; 15 .
99,Sometimes it rains .
100,Lets eat birthday cake and drink a juice .
101,plays computer games at 6pm .
102,Does gardening in the morning.Sets the table at 6pm .
103,Sometimes It rains a lot too .
104,"Lets eat cake , dance and sing ."
105,"Lets me know , see you soon ."
106,"Lets eat cake , dance and sing ."
107,Theres nothing wrong with dreams .
108,does her homework at 5pm .
109,feeds the turtle twice a day .
110,Sometimes the monkey it 's very naughty .
111,"Lets eat cake , dance and sing ."
112,"Lives in : Saudi Arabia , Admmam Favorite Season : winter Time : every day !"
113,Lets eat rice and drink .
114,Thats the reason why Century has managed to be one of the top three watchmakers worldwide .
115,Turns out it was a wig .
116,"Lets dance , sing eat cake and drink !"
117,guys The clothes store a sale .
118,Is n't that just great !
119,Plays computer games at 6pm .
120,Does gardening in the morning .
121,Sets the table at 6 pm .
122,"Lets eat cake , dance and sing ."
123,Lets eat cake and dance .
124,plays computer games at 6:00pm .
125,does gardening in the morning .
126,sets the table at 6:00pm .
127,Sometimes it 's difficult because I have to work long hours .
128,plays computer games at 7 pm every evening .
129,Does gardening in the morning .
130,sets the tabel at 7 pm .
131,"is sunny and very hot , we play soccer and go swimming , In winter it 's cold and sometime rainy , In Autumn and spring are both cool , we wear in winter big coats , sweaters , and hats ."
132,"Plays computer at 6pm in the , everyday ."
133,Does gardening in the .
134,Sets the at 6pm every evening .
135,"sneakears it 's $ 79.00 , a shirt it 's $ 30.00 ( Medium Size ) , shoes it 's $ 59.00 , a belt it 's $ 29.00 and you can see your email ."
136,"Lets eat cake , watch TV and listen to music ."
137,"Lets eat cake , dance and sing ."
138,Im a teacher .
139,Im a manager .
140,Im a housewife .
141,Always I take breaks .
142,plays the basketball every day .
143,reads newspaper on friday morning .
144,"Lets eat cake , dance and sing ."
145,Always she sets the table at 6pm .
146,does gardening in the morning feed the dog at 5 pm every day walk the dog in the afternoon set the table at 6pm .
147,Does the laundery on sunday .
148,Does the garden once a a year .
149,Skirts 9 $ .
150,holds honors degree in electrical engineering .
151,Iam a teacher .
152,sometimes it 's hard because i do n't sit at a desk and i work long hours .
153,Thanks a lot .
154,"Lives : Dubai , United Arab Emirates ."
155,Sometimes it rains so bring raincoat and suncreen .
156,is married .
157,is thirty-two years old .
158,is eight years old .
159,Sets the table at 5:00 PM .
160,Does the gardening in the morning .
161,Does the laundry on Tuesday afternoon .
162,"Lets eat cake , dance and sing ."
163,Im a teachar iworks english teach .
164,Im a teacher .
165,"Lets eat cake , dance and sing ."
166,Washes the dishes and dry .
167,Walks the dog every day .
168,Washes the dog fur on Saturday and taks him to the bed at 7o'clock evening .
169,"Lets eat cake , dance and sing ."
170,Thes what we do .
171,Theres so much to dh in it .
172,Plays computer games at 7am .
173,Does the laundry and ironing the clothes every tuesday .
174,Does the gardening every day .
175,plays computer games on the evening .
176,mops the floor every week .
177,does laundry on thursday afternoon .
178,"is beautiful in spring , summer , autumn and winter ."
179,"Lets eat cake , dance and sing ."
180,Sometimes we would rather not change things even though they are improved .
181,"Lives in : Yanbu , in Saudi Arabia ."
182,Is Saturday good for you .
183,lets eat cake sing song and dance .
184,Geordies search for missing the Internet and high-speed .
185,"Contains special recipes : not broad nor bgosairh contain multimedia and mony site and has severed colors including red , green and yello ."
186,"Lets eat cake , play computer games , And watch movies ."
187,"Lives in : Alkhobar , Saudi Arabia ."
188,is fabulous .
189,"Lets eat cake , dance and sing and listen to music ."
190,"Lets eat cake , dance and sing ."
191,sometimes it 's difficult .
192,plays computer games at 6pm .
193,Is n't that amazing .
194,Thanks the lovely gift .
195,Is really amazing city .
196,is tall and thin .
197,is played by James Stewart.L.B .
198,"is photographer , but his leg is broken.he has to stay home , so he watches his neighbors through their windows.I felt sorry for his poor neighbors !"
199,"begins using his camera to fight evil.I saw the remake in 1998 , but it 's not the same ."
200,Im a Teacher .
201,"IN THE EVENING I PLAY FOOTBALL WITH MY FRIENDS , AND I HAVE DINNER WITH MY FAMILY AT 8 O'CLOCK ."
202,"Terrorists people , backward people , they covered their women and do n't respect them ' In fact , women in Saudi Arabia are lucky , They like the queens on Europe , you ca n't touch strange woman I mean & quot ; Woman not from your family & quot ; ."
203,Iam a housewife .
204,washes the dishes every day .
205,Does the homework every night at 8 pm .
206,"Turns out it was a wig and the young woman wasnt a young woman at all , but a teenage boy ."
207,"Lets eat cake , dance , and sing song ."
208,begins using his camera to fight evil .
209,Lives in : Saudi Arabia .
210,Iam a student .
211,Guys the online catalog has Amazing clothing offers .
212,Thanks a lot see you soon .
213,Plays computer games at 6 p.m. in the evening .
214,Does gardening in the morning .
215,Sets the table always at 6 p.m. in the evening .
216,is played by james Stewart .
217,Does the laundry once a month .
218,watches moves every day .
219,is live madinah my sister is twnty-four .
220,is live jedah .
221,Takes the dogs for a walk twice times every day 8:30 AM and 8 o'clock PM .
222,"Is not too useful because it is based only in entertaining and news , i strongly that it is should be more educational but i saw in this month one short program in Dubai channel talk about how to improve yourself , i think they should increase the program in same field ."
223,"Lets eat cake , drink juice , dance and sing and watch movie ."
224,"Lives in : Jeddah , Saudi Arabia ."
225,Is there free wireless internet .
226,"Lets eat cake , dance and sing ."
227,is played by james stewart .
228,"is photographer , but his leg is borken ."
229,begins using his camera to fight evil .
230,"Im a student , i talk on the phone with my friends and send some emails to my teachers ."
231,Does the laundry and ironing on Sunday morning .
232,Has a lot of tall buildings .
233,has fresh fish and salad good and breakfast is very good not expensive .
234,is going to be a scientist in physics .
235,"is n't that , ofcourse because robot do not do mistakes people do robots do not get tired people get , robots do not ge boring people get and alot of defferences make the robots much better in some positions not at all ."
236,ofcourse no for example person like bill gates everyone know about him but someone like jimy swagart maybe little people knowing about him .
237,yours khalid .
238,plays computer at 6p.m.in the eveningeveryday .
239,Thanks a lot .
240,"Lets eat cake , dance and sing ."
241,Sits a happy man and woman .
242,becoues most of childrein stopped buight the toys and prefer buying video games .
243,"Is a city of peace and Islam , Its beautiful heritage , people are always smiling ."
244,"* the talk about women 's rights in my country is painful for the soul and mind , could n't be restricted it in 150 characters ."
245,Is it nice city .is about 200 kilometers from jeedah.i go to riyad in weekend .
246,"is about 400 km from jeddah , it 's has amauntents and a lot of hillis ."
247,"sometimes it 's difficult , but i interesting in it so much , because i love childrens ."
248,Plays computer games at 6pm .
249,Does gardening in the morning .
250,Sets the table at 6pm .
251,Gets up at 7am .
252,Sets the table at 8 :30 pm .
253,Guests :12 .
254,"Thieves broke into the Jewelry Store on Sunday night , and stole all the jewelry in the store ."
255,"is a kichen , ameeting room , a few restrooms and a lot of windows ."
256,lets eat alots of cake and snacks and play card games and dance .
257,Goes to the hospital once daily .
258,Does the housework every day .
259,Washes the dishes every evening .
260,Does the ironing on Saturday .
261,Pays the pills every month .
262,Is about 400 kilometers from Riyadh .
263,is played by James Stewart .
264,"is a photograper , but his leg is broken ."
265,Is the gender equality still a hot topic in the media .
266,Sometimes the small shops are cheaper than the department stores or mall .
267,"is characterized by gentle atmosphere , mountains green as it 's located beside the Indian Ocean ."
268,Plays computer games at 6pm .
269,Does gardening in the morning .
270,Sets the table at 6pm .
271,Thieves broke into Al Mussali jewlery on sunday night and stole & quot ; necklace and some diamonds & quot ; .
272,Plays computer games at 6pm .
273,sometimes she 's a lazy bot always shs 's funny .
274,is easy and saves time for me .
275,Does not allow him to see the children around him g was a really fun game .
276,Is not expinsev .
277,"is a photographer , but his leg is broken ."
278,Is about 1200 kilometers from the Red Sea and about 450 kilometers from the Gulf Arabia .
279,Is played by james stewart .
280,"is a photographer , but his leg is broken ."
281,begins using his camera to fight evil .
282,"Is very common to see people for all age , specially many women than men ."
283,"Is too bad smoke in front of the people , specialy in a close area ."
284,theres an italian restaurant across the street .
285,Theres an italian restaurant across the street .
286,Theres a library and a big department store .
287,Is That Good For You !
288,"Is there anything I miss , let me know ."
289,Thats the reason why Century has managed to be one of the top watchmakers worldwide .
290,is played by madlen johns and norah .
291,Im a store manager for THE BODY SHOP company .
292,sometimes it can rain .
293,"Whats most important , live every day as if it were I last , and take care of my health ."
294,has 4 bedroom .
295,"theres a school , hospital , Indian Restaurant , shopping center and a coffee shop ."
296,"Is one of the mandates of the United States.Texas is America 's largest states after Alaska , which is the center of South America ."
297,Is very expensive but deserve it .
298,Is very modern and overlooking the sea .
299,"Is it expensive , where i can live , what is the kind of food , and what is the good restaurant in the PA ."
300,Is has soup and fresh salad .
301,is played by Sylvester Stallone .
302,is played by Arnold .
303,Theres bookstore next to supermarket .
304,Theres a library in font of bank .
305,"Distributes business employees equal , I am very lucky Presidents very disciplined in working time of entry and exit , resolute in action and non-courtly , treats everyone equal ."
306,is work by gasoline so that we could not getting air and water quality .
307,"lets talk about the tower crane , how to built the new skyscraper without it , its impossible ."
308,"is outside job i think that what you looking for you will be dealing with animals preparing thier food pay is totally spectacular $ 50,000 benefit full accident insurance one month holiday every year , regular trip to Florida to observe willd crocodiles by far is almost exhilarating job dont miss it i dont think you could find a better position then that , good luck let me know what is going to be your decision ."
309,Is big house .
310,Always she sing for me .
311,"Is abut 300 km west from Arabic coast , and abut 900 km east from Mecca ."
312,"Begins with prayers called & quot ; Ead prayers & quot ; , then Begin the popular festivals ."
313,is about 1900 SAR for night !
314,"Has a Fresh salad , And chicken salad you like ."
315,is about 200 kilometers from the red sea cost .
316,"is playing a big role in these days , depending to those whose are running the TV ."
317,"Days come I did n't know what happened she looked like a wonderful and very smart , well I something happened to me It was love think of her every minute ."
318,is played by James Stewart L.B .
319,"is a photographer , but his leg is broken ."
320,is freely city close to the Gulf .
321,is played by James Stewart .
322,"is a photographer , but his leg is broken ."
323,begins using his camera to fight evil .
324,Is questionable .
325,"theres a big park in KSA , and there is a building Kingdom ."
326,Theives broke in a jewellry shop and stole lots of gold and diamonds .
327,is about 350 kilometers from Riyadh .
328,-Needs some restoration .
329,is played by Dived nebd .
330,"is a photographer , but his leg is broken ."
331,Is lasts for whole month and is the most famous event in The JOUF city .
332,"Seconds later I heard her speaking to a colleague , complaining about a bug standing on the screen ."
333,"Always people said that life is short , come in ."
334,"is photographer , but his arm is broken ."
335,has eyes is black .
336,theres a supermarket and bigWarehouses .
337,theres a coffe shop and a good kabsa ( rise ) place .
338,"Businesses that sell green products have to conserve natural resources as much as possible by using organic , recycled and biodegradable materials in their products and packaging ."
339,Im a successful teacher who proved herself through two years only .
340,Thats the reason why Century has managed to be one of the top watchmakers among high classes worldwide .
341,theres park between library and movie thearer .
342,theres big school in front of playground .
343,writes at the head of every line .
344,Thieves stole our neighbor 's money .
345,Is very difficult to get a house in a rich country .
346,Theres a big gym near the park .
347,Is n't that totally exhilarating !
348,"Iam a hardworking , organized and motivated person , and I think I will be very helpful for your company if I joined to you ."
349,is a Lieutenant in the U.S army who lead a team of soldiers to assassinate Nazi leader .
350,Is gender equality still a hot topic in Saudi Arabia .
351,Is there are free wireless internet .
352,"is the my office , there are a lot of a desks and computers , that at right is the kitchen ."
353,"is a photographer , but his leg is broken ."
354,"is he tall , ans very intelligent ."
355,Is an area famous fot the cultivation of palm .
356,"Businesses that sell green products have to conserve natural resources as much as possible by using organic , recycled and biodegradable materials in their products and packaging ."
357,"Sometimes it 's just confusing to clearly distinguish between what is most important and less critical , but in general , I believe that honesty and empathy will result in a good team building ."
358,is played by James Stewart .
359,"is a photographer , but his leg is broken ."
360,begins using his camera to fight evil .
361,"Is beautiful , his between big and small city and Crowded ."
362,Is friendly and playful .
363,"Loves the people in our neighborhood very large library ( Jarir Bookstore ) they contain electronic devices as well , but they are expensive ."
364,Applebees the best resturant .i like food becuase always fresh .
365,Theres a library and a big department store .
366,Theres a coffee shop and a good pizza place .
367,is blayed by James Stewart .
368,begins using his camera to fight evil .
369,is about 300 KM from Riyadh .
370,Is played by bruce willece .
371,Theres an English restaurant near the library .
372,Theres a park and a good pizza place .
373,starts concert at 9 p.m. tickets available at Stores AL-MAJED .
374,"is about 550 KM from Riyad Capital , and north Dammam ."
375,"Is one day in origin , but often continue the celebrations to three days and probably more than that ."
376,Begins the celebration better wear new clothes and then go to the Eid prayer and be after sunrise 10 or 15 minutes .
377,Theres not much of a change in mood .
378,has a some chair and desk .
379,is about 170 km from damma .
380,Theres a computer on my desk .
381,Theres a chiar .
382,Thieves broke into on Friday night and stole an 17th-centyry Egyptian painting.The security guard of the museum discoved the theft on saturday morning and called the police immediately .
383,Is about 1500 km from center Saudi Arabia ( Riyadh ) .
384,"Theres no broke , spraines and bruis I just ca n't sleep for three day 's ."
385,is played by James Stewart .
386,"is a photographer , but his leg is broken ."
387,begins using his camera to fight evil .
388,Is a city holy to Muslims.72 km from the city of Jeddah and the Red Sea coast .
389,is played by James Stewart .
390,"is a photographer , but his leg is broken ."
391,begins using his camera to fight evil .
392,is about 134 kilometers from Cairo .
393,"Theres a new restaurant in town , and I think youd like it ; its very simple and cozy ."
394,Theres an Italian restaurant across the street .
395,Theres a library and a big department store .
396,Theres a coffee shop and a good pizza place .
397,is played by James Stewart .
398,"is a photographer , but his leg is broken ."
399,begins using his camera to fight evil .
400,is played by Jouly Hour .She is avery beautiful actress .
401,"is adentist , but she was falled in love with apatient .Then she was discovered he was an H.B patient .The end was very sad .I fall alot of tears when I was watced it ."
402,"Is a beautiful city , and the city has a lot of great buildings and restaurants.There are a lot of expensive shops.Brasil is a great city !"
403,"is a photographer , but his leg is broken ."
404,begins using his camera to fight evil .
405,Is have a great beach .
406,Is a hardworking and intelligent .
407,Is the name .
408,"Is The Makkah great beautiful , and the city not't sleeping peoples ."
409,is a photographer but his leg is broken .
410,has green eyes and has black hair .
411,Always the police catch many groups of residents who prepare alcohol and sell it .
412,nowadays the hot topic is to let women driving car but there is a lot objection from community .however i believe one day women can drive but need more time to let this happen .
413,Nowadays a lot of people taken up extreme sports .
414,Is this racing of increasing prices .
415,I'ts a small city .
416,Tourists come to it in the summer .
417,Is played by jessica chastain and nikolaj costerwaldau .
418,Theres city park it big and wonrfull .
419,Theres a few of good gym in the Piin street .
420,Is a holy city Has a lot of visitors and shops .
421,Is played by Ahmed Heelme and Mena Shalbe .
422,Is an excellent actor .
423,"Sometimes it 's difficult to find something educational , I feel pretty strongly that there should be some kind of restrictions ."
424,"Businesses that sell green products have to conserve natural resources as much as possible by using organic , recycled and biodegradable materials in their products and packaging ."
425,Thieves broke into the store and stole money .
426,"Is the gender equality still a hot topic in Saudi Arabia.There are many issues and rights they still discussing until now .Actually , we have in our country islamic roles which are very great but the wemen are suffering fom the traditional roles .In 2012 , the king of Saudia Arabia Abduallah gave the weman the right to be a member of the consulting board in the country.We have some problems here and I hope that we can solve them.Some people are saying there is no need to let the weman work.We have to change these thoughts but it takes more time ."
427,Is n't time for her to drive .
428,"is photographer , but his leg is broken ."
429,begins using his camera to flight evil .
430,Is clean and comfortable .
431,is played by James Steward .
432,"is a photographer , but his leg is broken ."
433,begins using his camera to fight evil .
434,Is pretty nice and always smiling but busy .
435,"is played by James Stewark L.B is photographer , but his big leg is broken ."
436,begins using camera to fight evil .
437,"s really comfortable the bedroom is larg , but it 's a little cold ."
438,is there free wireless internet .
439,Nowadays most people watch football game and interested with players .
440,"Nowadays most of the channels are about sex , violence , drugs , gangs and non eductional material , thus , we see bad altitudes of the children in schools and with handling the parents ."
441,Is gender equality still wake and they need someone to protect them as bodyguard .
442,Has a beautiful smile .
443,is a photographer but his leg is broken .
444,Is 900 kilometers from Dubai .
445,Theres an online catalog of gifts and Christmas cards .
446,"is big and crowded.downtown is beautiful , and the city has some sky scraper.There are a lot of cheap shops ."
447,Is about 400 kilometers from east cost and 1000 kilometers from west cost .
448,Theres a kitchen .
449,Theres an Indian restaurant across the street .
450,Theres a hospital and a big department store .
451,Theres a library and a coffee shop .
452,is there any movies theater near you .
453,is was really scary .
454,Theres an ltian restaurant across the street.Theres a library and a big department store .
455,Theres a coffee shop and a good pizza place .
456,theres an Arabian restaurant across the street .
457,theres a library and a big department store .
458,theres a coffee shop and a good pizza place .
459,is that prime reason why the women jobs were certain !
460,Is beatiful park and expensive shoops .
461,theses days I am thinking a lot of our family future .
462,is more restricted than any other countries because of our religion which restricts watching sex at anytime and any age .
463,Always it has a nice smell .
464,Theirs a lot of beulding .
465,Theres a Indian restaurant across street .
466,Theres a coffee shop and a good pizza place .
467,Is an american thriller film directed by brad anderson and written by richard d'Oidio .
468,"Nowadays Most of TV channels are showing diverse programs.like reality shows , sitcom.movies.news.and documentaries ."
469,Is neer the soper market .
470,Thieves broke into gold shop and stole fifteen kilos of gold .
471,Is on the Red Sea in westren Saudia Arabia .
472,Theives broke into a villa to stole some money .
473,is a kitcgen and meeting room .
